id,row,col,status,source,source_url
75,7,4,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
76,7,5,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
77,7,6,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
78,7,7,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
79,7,8,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
80,7,9,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
81,8,0,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
82,8,1,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
83,8,2,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
84,8,3,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
85,8,4,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
86,8,5,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
87,8,6,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
88,8,7,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
89,8,8,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
90,8,9,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
91,9,0,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
92,9,1,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
93,9,2,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
94,9,3,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
95,9,4,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
96,9,5,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
97,9,6,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
98,9,7,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
99,9,8,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
100,9,9,No formal AI training,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
